"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1980/01/01","00:00","0.862","0.523","0.441","-0.016","-0.019","-0.479","-0.522","-0.684","0"
"1980/02/01","00:00","0.746","0.478","0.404","-0.059","-0.062","-0.525","-0.571","-0.809","0"
"1980/03/01","00:00","0.569","0.389","0.331","-0.138","-0.141","-0.614","-0.665","-1.065","0"
"1980/04/01","00:00","0.621","0.447","0.374","-0.083","-0.086","-0.55","-0.574","-0.864","0"
"1980/05/01","00:00","0.721","0.523","0.432","-0.028","-0.031","-0.498","-0.528","-0.809","0"
"1980/06/01","00:00","0.691","0.514","0.414","-0.047","-0.05","-0.513","-0.556","-0.787","0"
"1980/07/01","00:00","0.642","0.435","0.35","-0.117","-0.12","-0.589","-0.632","-0.714","0"
"1980/08/01","00:00","0.679","0.432","0.359","-0.114","-0.117","-0.592","-0.638","-0.769","0"
"1980/09/01","00:00","0.743","0.475","0.407","-0.053","-0.059","-0.522","-0.565","-0.757","0"
"1980/10/01","00:00","0.852","0.475","0.411","-0.047","-0.047","-0.507","-0.544","-0.909","0"
"1980/11/01","00:00","0.721","0.426","0.35","-0.105","-0.108","-0.568","-0.608","-0.845","0"
"1980/12/01","00:00","0.603","0.398","0.313","-0.135","-0.138","-0.592","-0.635","-0.903","0"
"1981/01/01","00:00","0.593","0.383","0.298","-0.153","-0.153","-0.604","-0.65","-0.815","0"
"1981/02/01","00:00","0.621","0.31","0.237","-0.23","-0.236","-0.711","-0.745","-1.043","0"
"1981/03/01","00:00","0.752","0.404","0.34","-0.117","-0.12","-0.58","-0.626","-1.016","0"
"1981/04/01","00:00","0.566","0.365","0.295","-0.172","-0.178","-0.653","-0.684","-0.995","0"
"1981/05/01","00:00","0.856","0.539","0.447","-0.022","-0.025","-0.498","-0.525","-0.812","0"
"1981/06/01","00:00","0.657","0.456","0.356","-0.12","-0.123","-0.601","-0.653","-0.857","0"
"1981/07/01","00:00","0.721","0.526","0.435","-0.034","-0.038","-0.513","-0.565","-0.739","0"
"1981/08/01","00:00","0.798","0.539","0.468","0.005","0.005","-0.461","-0.501","-0.641","0"
"1981/09/01","00:00","0.7","0.532","0.471","0.02","0.014","-0.443","-0.476","-0.681","0"
"1981/10/01","00:00","0.828","0.499","0.426","-0.022","-0.019","-0.467","-0.498","-0.656","0"
