FMN,Cherrry Branch to Minnesott Beach Ferry on Neuse River ,,,,,FERRYMON NEUSE RIVER 2019,,,,,,,,,,,
ID,cast #,loc_code,sample_time,tempc,spcond,salppt,dissolved_o2,depth_m,turbid,chl,ph,sample_time,lat,lon,track,speed,
1,4,'cherrybranch',17/6/2019 14:35:42-04:04,35.14,19.34,11.34,4.48,-0.028,6,10.7,7.06,17/6/2019 14:35:42.452-04:04,34.94515333,-76.80935333,2.5,4.218,
3,4,'cherrybranch',17/6/2019 14:35:44-04:04,35.15,19.35,11.34,4.47,-0.028,6,10.4,7.05,17/6/2019 14:35:44.466-04:04,34.94523167,-76.80935,2.4,4.27,
5,4,'cherrybranch',17/6/2019 14:35:46-04:04,35.14,19.34,11.34,4.47,-0.028,6,9,7.06,17/6/2019 14:35:46.478-04:04,34.94531167,-76.80935,1.9,4.27,
7,4,'cherrybranch',17/6/2019 14:35:48-04:04,35.15,19.35,11.34,4.47,-0.028,6,11.6,7.05,17/6/2019 14:35:48.394-04:04,34.94539167,-76.80934833,1.8,4.27,
9,4,'cherrybranch',17/6/2019 14:35:50-04:04,35.15,19.34,11.34,4.47,-0.028,6,10.3,7.06,17/6/2019 14:35:50.409-04:04,34.94547,-76.80934833,1.7,4.27,
11,4,'cherrybranch',17/6/2019 14:35:52-04:04,35.15,19.34,11.34,4.47,-0.028,6,7.4,7.05,17/6/2019 14:35:52.423-04:04,34.94554667,-76.80934333,1.8,4.27,
13,4,'cherrybranch',17/6/2019 14:35:54-04:04,35.14,19.34,11.34,4.47,-0.028,5.8,8,7.06,17/6/2019 14:35:54.438-04:04,34.94562167,-76.80934,1.7,4.27,
15,4,'cherrybranch',17/6/2019 14:35:56-04:04,35.15,19.34,11.34,4.47,-0.028,5.9,9.1,7.06,17/6/2019 14:35:56.453-04:04,34.94569833,-76.80933333,1.7,4.218,
17,4,'cherrybranch',17/6/2019 14:35:58-04:04,35.15,19.34,11.34,4.47,-0.028,6,9.6,7.06,17/6/2019 14:35:58.467-04:04,34.94577333,-76.80933167,1.6,4.218,
19,4,'cherrybranch',17/6/2019 14:36:00-04:04,35.15,19.35,11.34,4.46,-0.028,5.8,9.7,7.05,17/6/2019 14:36:00.481-04:04,34.94584833,-76.80932667,1.8,4.218,
