Date_Time,LatDDMMmm,LongDDMMmm,UTC,SOG,COG,Date_Time,Temp,SpCond,Salinity,DOsat,DOConc,DOCharge,pH,pHmV,Turbidity,Chlorophyll,Fluorescence
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1/1/19 6:45,3506.918,-7559.182,115002,0,161.31,1/1/19 6:45 AM,18.14,25.74,15.76,1.21,0.101,74.7,6.381,-16.6,0.701,4.81,0.9
1/1/19 6:48,3506.917,-7559.184,115306,0,161.31,1/1/19 6:48 AM,18.14,25.74,15.76,1.21,0.101,73.8,6.381,-16.6,0.601,6.31,1.21
1/1/19 6:51,3506.917,-7559.183,115606,0.11,161.31,1/1/19 6:51 AM,18.14,25.74,15.76,1.21,0.101,74.7,6.381,-16.5,0.601,9.51,1.8
1/1/19 6:54,3506.918,-7559.183,115910,0,161.31,1/1/19 6:54 AM,18.14,25.75,15.771,1.21,0.101,75.8,6.381,-16.6,0.701,2.91,0.61
1/1/19 6:57,3506.918,-7559.182,120210,0.11,161.31,1/1/19 6:57 AM,18.13,25.71,15.75,1.21,0.101,73.8,6.391,-16.6,0.701,5.61,1.11
1/1/19 7:00,3506.918,-7559.184,120514,0,161.31,1/1/19 7:00 AM,18.13,25.72,15.75,1.21,0.101,75.8,6.381,-16.6,0.601,6.2,1.21
1/1/19 7:03,3506.916,-7559.183,120814,0,161.31,1/1/19 7:03 AM,18.13,25.76,15.78,1.21,0.101,74.7,6.381,-16.6,0.601,6.41,1.3
1/1/19 7:06,3506.918,-7559.183,121118,0,161.31,1/1/19 7:06 AM,18.13,25.74,15.76,1.21,0.101,74.7,6.381,-16.5,0.601,7.7,1.5
1/1/19 7:09,3506.919,-7559.181,121422,0,161.31,1/1/19 7:09 AM,18.13,25.75,15.771,1.21,0.101,74.7,6.381,-16.4,0.701,6.11,1.21
1/1/19 7:12,3506.919,-7559.183,121726,0,161.31,1/1/19 7:12 AM,18.121,25.75,15.771,1.21,0.101,74.7,6.381,-16.5,0.701,3.41,0.7
1/1/19 7:15,3506.921,-7559.182,122026,0,161.31,1/1/19 7:15 AM,18.13,25.76,15.78,1.21,0.101,75.8,6.381,-16.5,0.601,7.61,1.5
1/1/19 7:18,3506.919,-7559.184,122326,0.11,161.31,1/1/19 7:18 AM,18.121,25.74,15.771,1.21,0.101,73.8,6.381,-16.3,0.701,5.61,1.11
1/1/19 7:21,3506.918,-7559.183,122630,0,161.31,1/1/19 7:21 AM,18.121,25.76,15.78,1.21,0.101,74.7,6.381,-16.5,0.501,6.81,1.3
1/1/19 7:24,3506.918,-7559.183,122930,0,161.31,1/1/19 7:24 AM,18.121,25.76,15.78,1.21,0.101,74.7,6.381,-16.3,0.501,2.21,0.41
1/1/19 7:27,3506.855,-7559.181,123234,1.3,189.11,1/1/19 7:27 AM,18.121,25.76,15.78,1.21,0.101,74.7,6.381,-16.3,0.601,6.51,1.3
1/1/19 7:30,3506.673,-7559.534,123538,9.01,249.21,1/1/19 7:30 AM,18.121,25.76,15.78,1.21,0.101,73.8,6.381,-16.3,0.601,5.91,1.11
