"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1978/06/01","00:00","0.729","0.498","0.403","-0.1","-0.103","-0.609","-0.655","-0.902","0"
"1978/07/01","00:00","0.823","0.565","0.473","-0.024","-0.03","-0.533","-0.581","-0.865","0"
"1978/08/01","00:00","0.802","0.513","0.443","-0.054","-0.051","-0.545","-0.581","-0.777","0"
"1978/09/01","00:00","1.107","0.68","0.626","0.123","0.12","-0.386","-0.432","-0.756","0"
"1978/10/01","00:00","0.885","0.583","0.51","0.01","0.007","-0.496","-0.542","-0.789","0"
"1978/11/01","00:00","0.905","0.696","0.607","0.098","0.092","-0.42","-0.466","-0.814","0"
"1978/12/01","00:00","1","0.479","0.376","-0.158","-0.161","-0.697","-0.743","-1.021","0"
"1979/01/01","00:00","0.939","0.494","0.412","-0.115","-0.118","-0.652","-0.694","-0.975","0"
"1979/02/01","00:00","1.046","0.519","0.443","-0.066","-0.072","-0.588","-0.649","-0.862","0"
"1979/03/01","00:00","0.699","0.458","0.391","-0.143","-0.146","-0.682","-0.713","-1.072","0"
"1979/04/01","00:00","0.814","0.504","0.43","-0.088","-0.091","-0.609","-0.652","-0.887","0"
"1979/05/01","00:00","0.692","0.467","0.385","-0.118","-0.121","-0.624","-0.664","-0.905","0"
"1979/06/01","00:00","0.991","0.546","0.446","-0.054","-0.06","-0.563","-0.606","-0.85","0"
"1979/07/01","00:00","NaN","0.518","0.451","-0.049","-0.055","-0.561","-0.603","NaN","11"
"1979/08/01","00:00","0.888","0.577","0.488","-0.012","-0.015","-0.521","-0.551","-0.834","0"
"1979/09/01","00:00","0.991","0.604","0.519","0.004","-0.002","-0.521","-0.551","-1.112","0"
"1979/10/01","00:00","0.872","0.552","0.47","-0.049","-0.048","-0.569","-0.615","-1.011","0"
"1979/11/01","00:00","1","0.565","0.473","-0.045","-0.051","-0.572","-0.624","-0.944","0"
"1979/12/01","00:00","0.86","0.491","0.385","-0.13","-0.133","-0.649","-0.703","-0.966","0"
"1980/01/01","00:00","1.003","0.58","0.47","-0.036","-0.036","-0.545","-0.588","-0.819","0"
"1980/02/01","00:00","0.918","0.537","0.452","-0.048","-0.054","-0.56","-0.618","-0.999","0"
"1980/03/01","00:00","1.016","0.43","0.36","-0.152","-0.152","-0.664","-0.703","-1.35","0"
"1980/04/01","00:00","0.757","0.498","0.421","-0.082","-0.082","-0.585","-0.612","-0.95","0"
"1980/05/01","00:00","0.961","0.58","0.485","-0.021","-0.024","-0.53","-0.56","-0.917","0"
"1980/06/01","00:00","0.86","0.522","0.406","-0.103","-0.103","-0.615","-0.667","-0.898","0"
"1980/07/01","00:00","0.735","0.488","0.391","-0.118","-0.124","-0.636","-0.679","-0.822","0"
"1980/08/01","00:00","0.961","0.525","0.433","-0.091","-0.1","-0.633","-0.673","-0.886","0"
"1980/09/01","00:00","0.936","0.543","0.458","-0.048","-0.051","-0.56","-0.594","-0.813","0"
"1980/10/01","00:00","0.891","0.534","0.458","-0.048","-0.051","-0.56","-0.597","-1.054","0"
"1980/11/01","00:00","0.875","0.504","0.418","-0.085","-0.085","-0.588","-0.636","-0.938","0"
"1980/12/01","00:00","0.717","0.455","0.354","-0.133","-0.136","-0.627","-0.676","-0.993","0"
"1981/01/01","00:00","0.69","0.427","0.321","-0.167","-0.17","-0.661","-0.713","-0.975","0"
"1981/02/01","00:00","0.607","0.376","0.281","-0.228","-0.228","-0.737","-0.774","-1.054","0"
"1981/03/01","00:00","0.903","0.476","0.4","-0.106","-0.106","-0.609","-0.655","-0.889","0"
"1981/04/01","00:00","0.638","0.345","0.266","-0.246","-0.246","-0.761","-0.801","-1.258","0"
"1981/05/01","00:00","0.985","0.571","0.476","-0.033","-0.042","-0.563","-0.591","-0.819","0"
"1981/06/01","00:00","1.098","0.549","0.437","-0.079","-0.082","-0.597","-0.652","-0.838","0"
"1981/07/01","00:00","0.79","0.537","0.44","-0.063","-0.069","-0.581","-0.624","-0.935","0"
"1981/08/01","00:00","1.241","0.61","0.534","0.028","0.025","-0.484","-0.527","-0.853","0"
"1981/09/01","00:00","0.985","0.635","0.558","0.062","0.059","-0.438","-0.478","-0.801","0"
"1981/10/01","00:00","1.086","0.583","0.501","0.004","0.007","-0.487","-0.524","-0.789","0"
"1981/11/01","00:00","1.33","0.619","0.513","0.025","0.019","-0.478","-0.517","-0.813","0"
"1981/12/01","00:00","0.967","0.504","0.394","-0.1","-0.1","-0.597","-0.636","-0.969","0"
"1982/01/01","00:00","0.845","0.4","0.287","-0.207","-0.213","-0.71","-0.777","-1.103","0"
"1982/02/01","00:00","0.79","0.406","0.309","-0.194","-0.2","-0.713","-0.764","-1.246","0"
"1982/03/01","00:00","0.827","0.47","0.391","-0.106","-0.106","-0.603","-0.636","-1.051","0"
"1982/04/01","00:00","0.799","0.379","0.296","-0.207","-0.213","-0.719","-0.767","-1.023","0"
"1982/05/01","00:00","0.851","0.498","0.403","-0.094","-0.1","-0.6","-0.642","-0.92","0"
"1982/06/01","00:00","0.912","0.632","0.522","0.028","0.022","-0.478","-0.511","-0.777","0"
"1982/07/01","00:00","0.888","0.494","0.391","-0.088","-0.094","-0.578","-0.621","-0.816","0"
"1982/08/01","00:00","0.714","0.513","0.424","-0.054","-0.06","-0.548","-0.594","-0.886","0"
"1982/09/01","00:00","0.918","0.589","0.51","0.028","0.025","-0.46","-0.496","-0.734","0"
"1982/10/01","00:00","1.11","0.702","0.619","0.132","0.129","-0.365","-0.408","-0.703","0"
"1982/11/01","00:00","0.796","0.528","0.424","-0.069","-0.072","-0.569","-0.609","-0.917","0"
"1982/12/01","00:00","1.083","0.586","0.461","-0.045","-0.051","-0.56","-0.612","-0.984","0"
"1983/01/01","00:00","1.272","0.607","0.494","-0.008","-0.015","-0.527","-0.569","-0.862","0"
"1983/02/01","00:00","1.025","0.647","0.552","0.071","0.065","-0.426","-0.469","-0.728","0"
"1983/03/01","00:00","1.156","0.699","0.61","0.107","0.104","-0.399","-0.444","-0.892","0"
