"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1980/01/01","00:00","NaN","0.117","0.05","-0.026","-0.041","-0.133","-0.194","NaN","0"
"1980/04/01","00:00","NaN","0.08","0.026","-0.069","-0.069","-0.163","-0.206","NaN","0"
"1994/04/01","00:00","0.346","0.13","0.073","-0.069","-0.082","-0.236","-0.287","-0.636","0"
"1994/05/01","00:00","0.495","0.222","0.173","0.029","0.013","-0.147","-0.198","-0.554","0"
"1994/06/01","00:00","0.507","0.207","0.152","0.018","0.007","-0.139","-0.173","-0.331","0"
"1994/07/01","00:00","0.355","0.2","0.147","0.012","0.002","-0.143","-0.182","-0.301","0"
"1994/08/01","00:00","0.382","0.177","0.139","0.002","-0.01","-0.16","-0.196","-0.355","0"
"1994/09/01","00:00","0.483","0.222","0.189","0.052","0.035","-0.119","-0.151","-0.422","0"
"1994/10/01","00:00","0.382","0.23","0.2","0.069","0.051","-0.099","-0.126","-0.383","0"
"1994/11/01","00:00","0.465","0.177","0.129","-0.011","-0.025","-0.179","-0.221","-0.483","0"
"1994/12/01","00:00","0.532","0.216","0.16","0.023","0.005","-0.151","-0.191","-0.395","0"
"1995/01/01","00:00","0.626","0.169","0.113","-0.023","-0.04","-0.194","-0.224","-0.389","0"
"1995/02/01","00:00","0.471","0.094","0.049","-0.092","-0.109","-0.267","-0.306","-0.505","0"
"1995/03/01","00:00","0.285","0.134","0.102","-0.038","-0.055","-0.212","-0.252","-0.493","0"
"1995/04/01","00:00","0.276","0.132","0.091","-0.044","-0.059","-0.21","-0.275","-0.45","0"
"1995/05/01","00:00","0.522","0.231","0.186","0.057","0.041","-0.104","-0.148","-0.371","0"
"1995/06/01","00:00","0.471","0.21","0.172","0.043","0.03","-0.112","-0.147","-0.331","0"
"1995/07/01","00:00","0.394","0.247","0.203","0.087","0.074","-0.055","-0.082","-0.2","0"
"1995/08/01","00:00","0.468","0.276","0.249","0.132","0.112","-0.024","-0.063","-0.24","0"
"1995/09/01","00:00","0.404","0.259","0.232","0.118","0.098","-0.036","-0.062","-0.221","0"
"1995/10/01","00:00","0.44","0.254","0.223","0.111","0.096","-0.031","-0.065","-0.233","0"
"1995/11/01","00:00","0.446","0.226","0.181","0.049","0.034","-0.113","-0.157","-0.325","0"
"1995/12/01","00:00","0.428","0.166","0.118","-0.014","-0.03","-0.179","-0.215","-0.422","0"
