"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"2010/05/01","00:00","0.251","0.061","0.041","-0.023","-0.022","-0.085","-0.112","-0.255","0"
"2010/06/01","00:00","0.174","0.072","0.056","-0.004","-0.007","-0.07","-0.1","-0.231","0"
"2010/07/01","00:00","0.186","0.039","0.022","-0.033","-0.034","-0.09","-0.117","-0.205","0"
"2010/08/01","00:00","0.314","0.143","0.123","0.069","0.063","0.004","-0.013","-0.126","0"
"2010/09/01","00:00","1.3","0.232","0.203","0.138","0.132","0.061","0.04","-0.125","0"
"2010/10/01","00:00","0.699","0.295","0.28","0.216","0.218","0.156","0.123","-0.202","0"
"2010/11/01","00:00","0.422","0.208","0.182","0.125","0.123","0.065","0.046","-0.143","0"
"2010/12/01","00:00","0.555","0.192","0.169","0.094","0.096","0.023","0.002","-0.173","0"
"2011/01/01","00:00","0.347","0.07","0.04","-0.017","-0.023","-0.086","-0.103","-0.267","0"
"2011/02/01","00:00","0.189","0.03","0.004","-0.056","-0.056","-0.116","-0.137","-0.245","0"
"2011/03/01","00:00","0.276","0.115","0.083","0.017","0.017","-0.049","-0.068","-0.218","0"
"2011/04/01","00:00","0.315","0.053","0.029","-0.034","-0.034","-0.097","-0.122","-0.314","0"
"2011/05/01","00:00","0.313","0.134","0.115","0.052","0.053","-0.009","-0.032","-0.172","0"
"2011/06/01","00:00","0.377","0.103","0.086","0.03","0.03","-0.026","-0.049","-0.153","0"
"2011/07/01","00:00","0.181","0.106","0.095","0.034","0.033","-0.029","-0.053","-0.209","0"
"2011/08/01","00:00","1.173","0.231","0.193","0.119","0.121","0.049","0.012","-0.918","0"
"2011/09/01","00:00","0.609","0.314","0.281","0.216","0.215","0.15","0.138","0.005","0"
"2011/10/01","00:00","0.6","0.255","0.229","0.161","0.164","0.099","0.075","-0.049","0"
"2011/11/01","00:00","0.525","0.187","0.153","0.093","0.086","0.019","0.007","-0.186","0"
"2011/12/01","00:00","0.464","0.11","0.077","0.023","0.019","-0.038","-0.058","-0.213","0"
"2012/01/01","00:00","0.31","0.025","-0.002","-0.062","-0.063","-0.125","-0.151","-0.265","0"
"2012/02/01","00:00","0.715","0.1","0.055","-0.003","-0.01","-0.075","-0.099","-0.288","0"
"2012/03/01","00:00","0.687","0.075","0.046","-0.019","-0.017","-0.08","-0.102","-0.238","0"
"2012/04/01","00:00","0.495","0.227","0.188","0.12","0.12","0.051","0.033","-0.104","0"
"2012/05/01","00:00","0.741","0.172","0.137","0.07","0.074","0.012","-0.013","-0.21","0"
"2012/06/01","00:00","0.437","0.273","0.251","0.19","0.19","0.13","0.106","-0.034","0"
"2012/07/01","00:00","0.5","0.179","0.162","0.092","0.093","0.023","0.001","-0.187","0"
"2012/09/01","00:00","0.325","0.195","0.179","0.125","0.126","0.073","0.054","-0.077","0"
"2012/10/01","00:00","1.316","0.275","0.237","0.188","0.171","0.105","0.093","-0.068","0"
"2012/11/01","00:00","0.562","0.336","0.322","0.263","0.267","0.212","0.194","-0.044","0"
"2012/12/01","00:00","0.567","0.186","0.159","0.114","0.096","0.033","0.015","-0.091","0"
"2013/01/01","00:00","0.559","0.109","0.078","0.021","0.019","-0.04","-0.066","-0.227","0"
"2013/02/01","00:00","0.579","0.172","0.132","0.059","0.062","-0.008","-0.041","-0.234","0"
"2013/03/01","00:00","0.948","0.266","0.231","0.162","0.153","0.075","0.051","-0.149","0"
"2013/04/01","00:00","0.329","0.091","0.065","0.001","0","-0.065","-0.085","-0.185","0"
"2013/05/01","00:00","0.375","0.111","0.09","0.032","0.032","-0.026","-0.057","-0.232","0"
"2013/06/01","00:00","0.199","0.085","0.061","-0.009","-0.007","-0.075","-0.1","-0.266","0"
"2013/09/01","00:00","0.402","0.209","0.188","0.126","0.128","0.069","0.052","-0.037","0"
"2013/10/01","00:00","0.629","0.323","0.297","0.251","0.242","0.186","0.181","-0.035","0"
"2013/11/01","00:00","0.391","0.189","0.15","0.077","0.085","0.021","-0.01","-0.169","0"
"2013/12/01","00:00","0.45","0.129","0.101","0.033","0.035","-0.031","-0.056","-0.238","0"
"2014/01/01","00:00","0.656","0.197","0.14","0.073","0.065","-0.01","-0.039","-0.193","0"
"2014/02/01","00:00","0.46","0.143","0.112","0.051","0.05","-0.012","-0.032","-0.132","0"
"2014/03/01","00:00","0.669","0.254","0.205","0.137","0.132","0.058","0.015","-0.139","0"
"2014/04/01","00:00","0.746","0.227","0.186","0.112","0.118","0.05","0.022","-0.174","0"
"2014/05/01","00:00","0.349","0.197","0.176","0.113","0.109","0.043","0.012","-0.149","0"
"2014/06/01","00:00","0.225","0.165","0.146","0.084","0.083","0.021","-0.001","-0.133","0"
"2014/07/01","00:00","0.566","0.163","0.141","0.074","0.075","0.009","-0.014","-0.411","0"
"2014/08/01","00:00","0.438","0.258","0.243","0.177","0.176","0.11","0.091","-0.066","0"
"2014/09/01","00:00","0.547","0.347","0.324","0.263","0.262","0.201","0.185","0.018","0"
"2014/10/01","00:00","0.521","0.298","0.269","0.207","0.204","0.14","0.123","-0.024","0"
"2014/11/01","00:00","0.83","0.242","0.201","0.141","0.134","0.067","0.027","-0.243","0"
"2014/12/01","00:00","0.621","0.236","0.212","0.152","0.151","0.09","0.065","-0.038","0"
"2015/01/01","00:00","0.483","0.185","0.143","0.086","0.079","0.014","-0.024","-0.22","0"
"2015/02/01","00:00","0.723","0.257","0.187","0.114","0.103","0.02","-0.021","-0.212","0"
"2015/03/01","00:00","0.31","0.083","0.049","-0.006","-0.015","-0.079","-0.098","-0.2","0"
"2015/04/01","00:00","0.356","0.105","0.073","-0.005","0.001","-0.07","-0.087","-0.233","0"
"2015/05/01","00:00","0.522","0.113","0.088","0.034","0.031","-0.026","-0.05","-0.208","0"
"2015/06/01","00:00","0.352","0.13","0.109","0.044","0.044","-0.02","-0.041","-0.178","0"
"2015/07/01","00:00","0.31","0.196","0.176","0.111","0.112","0.048","0.028","-0.059","0"
"2015/08/01","00:00","0.372","0.22","0.201","0.144","0.143","0.084","0.066","-0.057","0"
"2015/09/01","00:00","0.552","0.294","0.276","0.211","0.211","0.146","0.128","-0.011","0"
"2015/10/01","00:00","0.94","0.436","0.407","0.347","0.347","0.286","0.264","-0.017","0"
"2015/11/01","00:00","0.601","0.298","0.269","0.209","0.206","0.143","0.121","-0.002","0"
"2015/12/01","00:00","0.628","0.223","0.199","0.138","0.137","0.076","0.059","-0.078","0"
"2016/01/01","00:00","0.614","0.331","0.288","0.221","0.218","0.147","0.115","-0.184","0"
"2016/02/01","00:00","0.953","0.305","0.262","0.185","0.185","0.109","0.066","-0.202","0"
"2016/03/01","00:00","0.521","0.175","0.148","0.084","0.083","0.018","-0.01","-0.121","0"
"2016/04/01","00:00","0.595","0.234","0.191","0.106","0.114","0.037","0.003","-0.133","0"
"2016/05/01","00:00","0.536","0.256","0.23","0.162","0.163","0.097","0.076","-0.07","0"
"2016/06/01","00:00","0.511","0.314","0.285","0.205","0.21","0.136","0.103","-0.023","0"
"2016/07/01","00:00","0.494","0.231","0.194","0.111","0.12","0.045","0.02","-0.087","0"
"2016/08/01","00:00","0.299","0.179","0.165","0.109","0.11","0.055","0.031","-0.105","0"
"2016/09/01","00:00","1.404","0.38","0.343","0.278","0.274","0.206","0.186","-0.109","0"
"2016/10/01","00:00","1.828","0.503","0.474","0.387","0.396","0.319","0.286","-0.107","0"
"2016/11/01","00:00","0.72","0.28","0.243","0.177","0.175","0.106","0.084","-0.108","0"
"2016/12/01","00:00","0.503","0.234","0.189","0.118","0.115","0.042","0.017","-0.134","0"
"2017/01/01","00:00","0.643","0.177","0.141","0.077","0.068","-0.004","-0.033","-0.224","0"
"2017/02/01","00:00","0.545","0.12","0.091","0.014","0.02","-0.051","-0.068","-0.178","0"
"2017/03/01","00:00","0.407","0.066","0.028","-0.049","-0.05","-0.128","-0.159","-0.361","0"
"2017/04/01","00:00","0.529","0.234","0.201","0.122","0.126","0.051","0.019","-0.156","0"
"2017/05/01","00:00","0.51","0.271","0.238","0.165","0.161","0.084","0.056","-0.063","0"
"2017/06/01","00:00","0.491","0.201","0.178","0.116","0.112","0.047","0.022","-0.128","0"
"2017/07/01","00:00","0.448","0.168","0.149","0.086","0.083","0.017","-0.009","-0.116","0"
"2017/08/01","00:00","0.624","0.246","0.226","0.168","0.166","0.106","0.087","-0.021","0"
"2017/09/01","00:00","0.91","0.441","0.404","0.335","0.332","0.26","0.236","0.042","0"
"2017/10/01","00:00","0.573","0.289","0.262","0.2","0.198","0.135","0.11","-0.344","0"
"2017/11/01","00:00","0.521","0.26","0.237","0.175","0.176","0.116","0.098","-0.029","0"
"2017/12/01","00:00","0.573","0.159","0.13","0.076","0.064","-0.001","-0.019","-0.243","0"
"2018/01/01","00:00","0.841","0.097","0.046","-0.01","-0.026","-0.098","-0.123","-0.323","0"
"2018/02/01","00:00","0.257","0.066","0.037","-0.035","-0.034","-0.104","-0.128","-0.247","0"
"2018/03/01","00:00","0.861","0.402","0.347","0.265","0.262","0.178","0.141","-0.04","0"
"2018/04/01","00:00","0.383","0.173","0.133","0.063","0.062","-0.01","-0.043","-0.344","0"
"2018/05/01","00:00","0.367","0.121","0.096","0.035","0.035","-0.026","-0.053","-0.214","0"
"2018/06/01","00:00","0.325","0.243","0.222","0.159","0.158","0.094","0.068","-0.035","0"
"2018/07/01","00:00","0.388","0.209","0.182","0.114","0.114","0.045","0.019","-0.082","0"
"2018/08/01","00:00","0.308","0.217","0.2","0.137","0.137","0.074","0.057","-0.04","0"
"2018/09/01","00:00","0.629","0.372","0.35","0.279","0.283","0.215","0.184","-0.421","0"
"2018/10/01","00:00","0.722","0.315","0.278","0.208","0.206","0.134","0.111","-0.139","0"
"2018/11/01","00:00","0.583","0.33","0.288","0.215","0.214","0.141","0.1","-0.205","0"
"2018/12/01","00:00","0.739","0.354","0.32","0.248","0.247","0.174","0.147","-0.031","0"
"2019/01/01","00:00","0.604","0.28","0.246","0.173","0.176","0.106","0.074","-0.12","0"
"2019/02/01","00:00","0.511","0.222","0.189","0.116","0.12","0.051","0.026","-0.049","0"
"2019/03/01","00:00","0.548","0.281","0.253","0.173","0.181","0.109","0.085","-0.028","0"
"2019/04/01","00:00","0.726","0.246","0.205","0.128","0.128","0.051","0.027","-0.124","0"
"2019/05/01","00:00","0.483","0.251","0.223","0.147","0.151","0.079","0.056","-0.076","0"
"2019/06/01","00:00","0.482","0.265","0.245","0.174","0.175","0.104","0.076","-0.009","0"
